ds,yhat,yhat_lower,yhat_upper
2019-05-16,188787.66719945465,77863.41812821983,293148.3325659353
2019-05-17,238686.32192029362,122237.80248315359,350745.5305540815
2019-05-18,202479.8400307718,80590.18568822158,311294.2080013076
2019-05-19,240530.48186339514,126159.19528914591,356892.11795050727
2019-05-20,176611.5289079626,62058.13688436531,283504.42724649096
2019-05-21,-17134.073892833025,-143716.37108211615,100899.61037617839
2019-05-22,79018.65620650252,-30385.60158558951,197549.04583856833
2019-05-23,160170.77292464566,49697.72361109481,272638.7371393341
2019-05-24,209294.64891599806,90595.98917787256,317355.765985646
2019-05-25,173221.59521453767,63712.764450086,286078.4534672677
2019-05-26,212283.26606598616,100006.51287258608,322942.7134401111
2019-05-27,150197.5067048552,36282.74223596363,257643.4028926288
2019-05-28,-40970.94695763357,-165506.69835429135,70671.86339773958
2019-05-29,58404.596376137255,-59930.57801827917,169513.07064543694
2019-05-30,143310.05281944748,26917.49710878916,260508.97123087084
2019-05-31,196589.49136924557,89265.48149449372,303396.8917457348
2019-06-01,164936.76338459257,58937.723434889165,268175.8567356536
2019-06-02,208541.12519932317,89036.39977145109,324195.0935598534
2019-06-03,150977.38454117763,40844.90806778517,263226.3336158211
2019-06-04,-35829.14798058118,-146828.99358723866,72996.69095419499
2019-06-05,67616.48602836966,-49607.755870183115,182757.33617249326
2019-06-06,156179.95259605767,44839.43526401803,277788.0010167912
2019-06-07,212599.9459423466,83877.82500687626,322627.09923245205
2019-06-08,183482.717534122,68808.008647061,296198.82419995416
2019-06-09,228950.02610627253,118603.09598291802,341992.1559091948
2019-06-10,172530.97809108644,58376.32563507406,286724.41798929946
2019-06-11,-13872.001931504521,-124029.01105391265,99915.58376815988
2019-06-12,89236.29652898763,-26765.983004934387,202795.895325427
2019-06-13,176744.55647127455,64032.055559846565,292636.03309940675
2019-06-14,231436.20530955476,122189.19580801993,351250.59256023826
2019-06-15,199982.2605366906,81168.29002098343,304405.3580154377
2019-06-16,242587.0207156925,121256.74597070675,355902.99493611907
2019-06-17,182877.14684481398,68168.3464297528,288872.42442758544
2019-06-18,-7135.536689685192,-122015.0693765952,112051.34257134577
2019-06-19,92161.94653094783,-18563.95584890578,214184.2281536492
2019-06-20,175780.73158601485,63825.21773876559,286463.2156145095
2019-06-21,226627.6167679755,111012.84801176563,342692.0699213304
2019-06-22,191494.16910078173,72690.70758109652,303156.3642332472
2019-06-23,230698.81469310145,122034.34811930376,344595.9765139556
2019-06-24,167972.56567533527,59821.1678881371,278432.61823606695
2019-06-25,-24581.189407747675,-134014.5073216567,98811.51708475093
2019-06-26,72726.72260720206,-51699.261378523595,184899.00363675205
2019-06-27,154966.18768960453,43202.13102257604,262807.8297722373
2019-06-28,205083.7884895202,98004.49015652273,315702.7497506637
2019-06-29,169890.98501829375,50678.358348376,286940.5644093025
2019-06-30,209705.89543876456,91510.99125099993,327981.78290458274
2019-07-01,148239.32905344307,34545.03607085838,257872.8252579776
2019-07-02,-42444.51987079476,-153965.75549617663,71496.47441031171
2019-07-03,57286.800348616525,-56710.8399438996,179733.3059194105
2019-07-04,142430.89906005264,35555.43069629185,251249.44503182857
2019-07-05,195848.9390423643,89419.90686022711,308306.0816116393
2019-07-06,164256.58844026207,53524.27142194407,269028.5359675856
2019-07-07,207868.84153400848,100821.25377100885,327400.59523450484
2019-07-08,150289.26302500936,39589.426753623644,261485.31559508643
2019-07-09,-36526.03709672036,-155893.16279303315,69543.22171155851
2019-07-10,66949.71746016659,-46789.500596056896,170389.63050704173
2019-07-11,155613.98576600832,49181.99936406401,281690.5406672816
2019-07-12,212236.19503778644,99108.70271808178,325142.67968632345
2019-07-13,183451.26951451437,75153.65128343512,294063.7027538965
2019-07-14,229406.64067130335,112630.81461282699,343650.18003574613
2019-07-15,173653.23150305197,62574.21287464174,284383.64898570004
2019-07-16,-11889.324805538374,-114164.3113509203,109184.41064693227
2019-07-17,92286.15317846296,-22152.174581682306,203748.80515332564
2019-07-18,181074.5883906834,69696.07957701919,292483.72382933385
2019-07-19,237259.5709663644,121094.20635638824,346955.46287434915
2019-07-20,207506.01176445716,85144.89220177094,324242.91465915873
2019-07-21,252005.79847641848,133122.46807324438,370732.11641047965
2019-07-22,194366.9987758906,77863.07653246018,310926.0911412931
2019-07-23,6576.9355293319095,-117190.8007979925,121526.25992374752
2019-07-24,108218.59457139752,-8856.598916096144,218259.14205379793
2019-07-25,194268.18463560802,84197.99871788127,305099.83335244225
2019-07-26,247593.3159239802,122395.50828245383,354703.1845480177
2019-07-27,214942.88454060827,98941.16936998417,322633.20490863593
2019-07-28,256590.0289430138,145457.71802502923,374649.63649204106
2019-07-29,196218.7908933101,88923.80643078797,314140.46143183316
2019-07-30,5884.8877313378325,-107552.01835035389,120840.8965677086
2019-07-31,105230.12947825593,-6380.100769749308,210371.50334559576
2019-08-01,189278.36220544679,74596.12612862082,305364.9053403612
2019-08-02,240932.45293518895,125380.50956553055,355849.73097710876
2019-08-03,206963.43747518407,92363.76534693464,320502.31707358075
2019-08-04,247653.2159015697,130347.3109589477,361625.09916814114
2019-08-05,186681.4305759138,74312.14338550737,300311.5112657035
2019-08-06,-3913.0801957090152,-116187.9217286542,112690.45127417315
2019-08-07,95483.25127328216,-19898.14189161354,209979.44783003986
2019-08-08,179856.172785554,67983.06554948135,295118.38334826456
2019-08-09,232062.43854407652,117614.49566517379,348177.16677748965
2019-08-10,198821.06427931876,79826.62302565668,309795.36196863436
2019-08-11,240358.31887835587,128968.07840404993,356937.1840015437
2019-08-12,180297.0042196566,71696.49449783293,291897.3489460965
2019-08-13,-9379.670449506957,-129714.28102876281,98219.24771352086
2019-08-14,90889.79726521728,-13540.635330008896,193576.90495131654
2019-08-15,176044.852644041,63739.339582248605,289101.5691377011
2019-08-16,228903.67607661584,105146.38860353641,342494.9521034667
2019-08-17,196156.09918274943,84226.1312425832,308929.64186643827
2019-08-18,238009.89105061945,123549.04419552934,352837.6463991439
2019-08-19,178080.91715029866,62233.96817750818,289122.1259701091
2019-08-20,-11642.557619149593,-125453.15370611635,100955.87378906262
2019-08-21,88417.9755797665,-25726.20364049654,198206.0179000186
2019-08-22,173230.40468381954,64268.671805468664,282053.6891590211
2019-08-23,225651.814095797,107158.96638005866,344625.70021363057
